Problem,n,Start Point,Method,Derivative,h_FD,Iterations,Grad Norm,Time (s),Status,Gradient History
Broyden Tridiagonal (n=10),10,suggested_x,Modified Newton,Exact,,4.0,0.0003887322753900906,0.01978379115462303,Success,"[25.179356624028344, 5.886964458159486, 0.9550398355014412, 0.06025233673184051, 0.0003887322753900906]"
Broyden Tridiagonal (n=10),10,suggested_x,Truncated Newton,Exact,,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,suggested_x,Modified Newton,FD-Hessian,0.0001,4.0,0.0003887328093933292,0.1334930828306824,Success,"[25.179356624028344, 5.886964485460088, 0.9550398575618635, 0.06025234416498473, 0.0003887328093933292]"
Broyden Tridiagonal (n=10),10,suggested_x,Truncated Newton,FD-Hessian,0.0001,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,suggested_x,Modified Newton,FD-Hessian,1e-08,4.0,0.00038873199078302286,0.023056500125676394,Success,"[25.179356624028344, 5.88696442508205, 0.9550398531385085, 0.06025233899308881, 0.00038873199078302286]"
Broyden Tridiagonal (n=10),10,suggested_x,Truncated Newton,FD-Hessian,1e-08,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_1,Modified Newton,Exact,,6.0,2.143227953235773,0.006158374948427081,Success,"[187.4163623158053, 99.99218251562922, 27.941288963506206, 9.633639700473177, 3.5001752242482174, 0.9493774284194514, 2.143227953235773]"
Broyden Tridiagonal (n=10),10,random_1,Truncated Newton,Exact,,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_1,Modified Newton,FD-Hessian,0.0001,6.0,2.1432261806470017,0.072060874896124,Success,"[187.4163623158053, 99.99218231980642, 27.941288168477517, 9.633639500196363, 3.500175091721432, 0.9493774111945735, 2.1432261806470017]"
Broyden Tridiagonal (n=10),10,random_1,Truncated Newton,FD-Hessian,0.0001,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_1,Modified Newton,FD-Hessian,1e-08,6.0,2.1432228353711076,0.039191917050629854,Success,"[187.4163623158053, 99.99218064251221, 27.941286369303334, 9.633639078780151, 3.500174848615656, 0.9493773479454894, 2.1432228353711076]"
Broyden Tridiagonal (n=10),10,random_1,Truncated Newton,FD-Hessian,1e-08,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_2,Modified Newton,Exact,,7.0,0.00036654017877054085,0.007733584148809314,Success,"[115.03195171135056, 32.1052905986293, 25.524424365298703, 6.6802719968292505, 1.6004955095839917, 0.577729576804495, 0.045717425095043014, 0.00036654017877054085]"
Broyden Tridiagonal (n=10),10,random_2,Truncated Newton,Exact,,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_2,Modified Newton,FD-Hessian,0.0001,7.0,0.00036653944750359856,0.033861542120575905,Success,"[115.03195171135056, 32.105290635018925, 25.524401431830498, 6.680265550359883, 1.6004941685520535, 0.5777291736572758, 0.04571733248328846, 0.00036653944750359856]"
Broyden Tridiagonal (n=10),10,random_2,Truncated Newton,FD-Hessian,0.0001,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_2,Modified Newton,FD-Hessian,1e-08,7.0,0.00036653897824779274,0.03998258407227695,Success,"[115.03195171135056, 32.10529033648395, 25.524397423501995, 6.680264522578633, 1.600494094557083, 0.5777293140112212, 0.04571732866906218, 0.00036653897824779274]"
Broyden Tridiagonal (n=10),10,random_2,Truncated Newton,FD-Hessian,1e-08,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_3,Modified Newton,Exact,,4.0,2.9516114713560886,0.00953837507404387,Success,"[88.59488290887401, 43.70339072228924, 10.249645195893697, 11.757241477199054, 2.9516114713560886]"
Broyden Tridiagonal (n=10),10,random_3,Truncated Newton,Exact,,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_3,Modified Newton,FD-Hessian,0.0001,4.0,2.9516115540032546,0.04054445796646178,Success,"[88.59488290887401, 43.70339072225976, 10.249645195878308, 11.757241478838976, 2.9516115540032546]"
Broyden Tridiagonal (n=10),10,random_3,Truncated Newton,FD-Hessian,0.0001,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_3,Modified Newton,FD-Hessian,1e-08,4.0,2.951611911036989,0.03463633288629353,Success,"[88.59488290887401, 43.703390290181325, 10.249645265448391, 11.757237958520323, 2.951611911036989]"
Broyden Tridiagonal (n=10),10,random_3,Truncated Newton,FD-Hessian,1e-08,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_4,Modified Newton,Exact,,7.0,9.572835679995113e-05,0.005235124845057726,Success,"[185.67790411241563, 102.30068901233577, 25.635842580283192, 6.207602507609403, 1.2631807941573603, 0.20295917920526435, 0.015511760733844696, 9.572835679995113e-05]"
Broyden Tridiagonal (n=10),10,random_4,Truncated Newton,Exact,,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_4,Modified Newton,FD-Hessian,0.0001,7.0,9.572870035254736e-05,0.03404583293013275,Success,"[185.67790411241563, 102.3006901765485, 25.635842911320246, 6.207602631037287, 1.2631808482455238, 0.20295920270331966, 0.015511767580810045, 9.572870035254736e-05]"
Broyden Tridiagonal (n=10),10,random_4,Truncated Newton,FD-Hessian,0.0001,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_4,Modified Newton,FD-Hessian,1e-08,7.0,9.572812801144037e-05,0.04303083405829966,Success,"[185.67790411241563, 102.30069057526913, 25.635842545925055, 6.207602437041285, 1.2631808018205164, 0.20295918346277458, 0.015511760796539901, 9.572812801144037e-05]"
Broyden Tridiagonal (n=10),10,random_4,Truncated Newton,FD-Hessian,1e-08,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_5,Modified Newton,Exact,,8.0,3.0538021177827946e-07,0.007332042092457414,Success,"[131.07537314641468, 71.93018784825512, 21.894989898950296, 20.492332440807882, 5.332458317952038, 0.9095943043895256, 0.07702237633760103, 0.0011548789031444974, 3.0538021177827946e-07]"
Broyden Tridiagonal (n=10),10,random_5,Truncated Newton,Exact,,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_5,Modified Newton,FD-Hessian,0.0001,8.0,3.0541059676387646e-07,0.05240474990569055,Success,"[131.07537314641468, 71.93018662107578, 21.89498941967967, 20.492323591484464, 5.332546621483504, 0.909611965842631, 0.07702392661553392, 0.0011549127640431277, 3.0541059676387646e-07]"
Broyden Tridiagonal (n=10),10,random_5,Truncated Newton,FD-Hessian,0.0001,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
Broyden Tridiagonal (n=10),10,random_5,Modified Newton,FD-Hessian,1e-08,8.0,3.053564960417422e-07,0.04726845817640424,Success,"[131.07537314641468, 71.9301808128326, 21.894987264771242, 20.492330659002167, 5.332352090921552, 0.9095727703060372, 0.07702039540479097, 0.001154834523903177, 3.053564960417422e-07]"
Broyden Tridiagonal (n=10),10,random_5,Truncated Newton,FD-Hessian,1e-08,,,,Failed: run_all_experiments.<locals>.<lambda>() takes 1 positional argument but 2 were given,
